province,type,name,about,priorities,website,phone,email,address,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
NL,Department,Access to Information and Protection of Privacy Office,The Access to Information and Protection of Privacy Office oversees the implementation and coordination of the Access to Information and Protection of Privacy Act. This legislation is designed to create a culture of openness and accountability in the public sector while protecting the personal information of citizens and commercially sensitive information of businesses.,,https://www.gov.nl.ca/atipp/,(709) 729-7072,municipalatipp@gov.nl.ca,,Other Training,(709) 729-7072,atippoffice@gov.nl.ca,https://www.gov.nl.ca/atipp/coordinators/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Executive Council,"The Office of the Executive Council is responsible for the overall operations of Government of Newfoundland and Labrador, decision-making, planning, formulation of policy and the general development of Government of Newfoundland and Labrador and all its resources.",,https://www.gov.nl.ca/exec/,,info@gov.nl.ca,,Violence Prevention Initiative,,info@gov.nl.ca,https://www.gov.nl.ca/exec/cabinet/expenseclaims/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Energy and Mines,,,https://www.gov.nl.ca/iet/,1-709-729-3017,EMMinister@gov.nl.ca,,Hydrogen Development Action Plan,709-729-3017,EMMinister@gov.nl.ca,https://www.gov.nl.ca/em/department/contact/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,"Environment, Conservation and Climate Change","The Department of Environment, Conservation and Climate Change supports environmental protection and enhancement through the implementation of water resource and pollution prevention regulations and policies, as well as conducting environmental assessments. The Department develops strategy and programs related to climate adaptation and mitigation, and net zero carbon emissions, while supporting a green transition and improved energy efficiency. Additionally, the Department works with employers, employees and unions to foster positive employment relations conditions.",,https://www.gov.nl.ca/ecc,,ECCInfo@gov.nl.ca,,Climate Change Adaptation Cost-Benefit Analysis Tool,(709) 729-2563,water@gov.nl.ca,https://www.gov.nl.ca/eccc/department/contact/wrmd/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Education and Early Childhood Development,The Department of Education and Early Childhood Development provides leadership and direction with respect to early childhood development and regulated child care; the K-12 education system: public libraries; and post-secondary education.,,http://www.gov.nl.ca/education,1.709.729.5097,education@gov.nl.ca,,Teaching Awards / Prix de l’enseignement,1.709.729.5097,education@gov.nl.ca,https://www.gov.nl.ca/education/k12/teaching/leave/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Health and Community Services,"The Department of Health and Community Services provides a leadership role in health and community services programs and policy development for the province. This involves working in partnership with a number of key stakeholders including regional health authorities, community organizations, professional associations, post-secondary educational institutions, unions, consumers and other government departments.",,https://www.gov.nl.ca/hcs/,,healthinfo@gov.nl.ca,"8700 1st Floor, West Block Confederation Building 100 Prince Philip Drive St. John",Health Care Action Updates,(709) 777-6300,healthinfo@gov.nl.ca,https://www.gov.nl.ca/hcs/findhealthservices/in-your-community/#contact,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Justice and Public Safety,The Department of Justice and Public Safety ensures the impartial administration of justice and the protection of the public interest through the dual offices of the Attorney General and Minister of Justice and Public Safety.,,https://www.gov.nl.ca/jps,(709) 729-5902,justice@gov.nl.ca,,Career Opportunities,(709) 729-5902,justice@gov.nl.ca,https://www.gov.nl.ca/jps/faq/powers/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,"Jobs, Growth and Rural Development","TheDepartment of Jobs, Growth and Rural Developmenthas a mandate to ensure the province has skilled workers for a fast-growing economy. This includes creating a climate which is conducive to economic growth, competitiveness and prosperity. This will be achieved through a spectrum of programs, services, and supports.",,https://www.gov.nl.ca/ipgs,1.709.729.2480,,,Employment Centres,(709) 729-3580,JGRDMinister@gov.nl.ca,https://www.gov.nl.ca/jgrd/department/minister/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Labrador Affairs,The Department of Labrador Affairs focuses on the economic and social development of Labrador by ensuring the unique perspectives of Labrador are considered in the formulation of Government policy and in the delivery of provincial programs and services in Labrador.,,https://www.gov.nl.ca/la,(709) 896-1780,,,Medical Transportation Assistance,(709) 896-1780,,https://www.gov.nl.ca/la/arctic-and-northern-policy/northern-development-ministers-forum-2/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Finance,"The Department of Finance is responsible for the development of fiscal, financial, statistical and economic policy. These responsibilities are primarily achieved by providing analysis and advice to Cabinet, Committees of Cabinet, government departments and agencies, boards and commissions. The department is responsible for the development and oversight of the annual provincial budget, the administration of provincial tax statutes, management of provincial borrowing and debt, project analysis, economic and fiscal forecasting, negotiation of federal transfers, and representing the province on national fiscal, economic and statistical matters.",,http://www.gov.nl.ca/fin/,(709) 729-3166,finance@gov.nl.ca,"8700 Main Floor, East Block Confederation Building St. John",Investor Relations,(709) 729-3255,infoera@gov.nl.ca,https://www.gov.nl.ca/fin/economics/contactus/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Seniors,The Department of Seniors works with other government departments and agencies to promote healthy aging across the lifespan and acts as a centre of expertise and knowledge on seniors and aging. The Department is also responsible for the administration of theAdult Protection Act.,,https://www.gov.nl.ca/seniors,,,"8700 3 rd Floor, West Block Confederation Building St. John",Latest News,(709) 729-3775,financeminister@gov.nl.ca,https://www.gov.nl.ca/fin/department/minister/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Municipal and Community Affairs,"The Department is mandated to support the economic and social sustainability of municipalities, communities and regions through the delivery of programs, services and supports to local governments and stakeholders. This is done through legislative, financial and land use planning services, training, and funding for communities through various programs. The Department strives to ensure that residents live in safe and sustainable communities and are served by open, effective and accountable local governments.",,https://www.gov.nl.ca/mpa,,MCAinfo@gov.nl.ca,2000 Protected Road Zoning Maps and Plans Protected Road Zoning Consultations St. John,Derrick Bragg Leadership Award,,MCAinfo@gov.nl.ca,https://www.gov.nl.ca/mca/minister/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Social Supports and Well-Being,"The Department of Social Supports and Well-Being supports individuals, families and communities in Newfoundland and Labrador in achieving improved health and social well-being and reduced poverty; and ensures the protection of children, youth and adults from abuse or neglect. The Department promotes the values of inclusion, diversity, and healthy active living and leads the development of policies, programs and partnerships to improve services and the overall social development of the Province.",,https://www.gov.nl.ca/cssd,1-833-552-2368,SSWBInfo@gov.nl.ca,,Poverty Reduction Plan,(709) 729-0659,SSWBminister@gov.nl.ca,https://www.gov.nl.ca/sswb/department/minister/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Transportation and Infrastructure,The department is responsible for the construction and maintenance of the provincial highways; the provision of the provincial ferry services; management of the provincial government fleet of light vehicles and heavy equipment; operation and maintenance of the provincial government air ambulances and water bombers and construction and management of provincial government buildings.,,https://www.gov.nl.ca/ti/,,ti@gov.nl.ca,"2025 Specifications Feedback Guidelines, Policies, Forms and Templates Circulars Contacts Tendering and Contracts Drivers and Vehicles Road Distance Database 511 Traveler Information System Frequently Asked Questions Publications News Releases About the Department Overview Minister Branches and Divisions Overview Executive Overview Communications Division Air and Marine Services Building Operations Roads Infrastructure Strategic and Corporate Services NL",Highway Cameras,,ti@gov.nl.ca,https://www.gov.nl.ca/ti/mi/contact/,https://www.gov.nl.ca/wp-content/uploads/Barry-Petten-02-2C9A9480.jpg,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Newfoundland and Labrador Medical Care Plan – MCP,,,http://www.health.gov.nl.ca/mcp/,,,,,,,,,,,,
NL,Department,Government Services,"The Department of Government Services provides accessible, responsive services in the areas of public health and safety, environmental protection, occupational health and safety, consumer protection, and in the preservation of vital events and commercial transactions. It also provides printing services to Government.",,http://www.gov.nl.ca/dgsnl,1-709-729-4834,GSInfo@gov.nl.ca,,Business Navigation Services,1-709-729-4834,GSInfo@gov.nl.ca,https://www.gov.nl.ca/gs/birth/disclosure-veto/,,https://x.com/GS_GovNL,,,
NL,Department,"Tourism, Culture, Arts and Recreation","The Department of Tourism, Culture, Arts and Recreation is the lead for tourism, arts and culture, sport and recreation and Provincial parks. The Department is responsible for supporting economic growth and employment in the tourism industry, cultivating contemporary arts, preserving the Province’s cultural heritage, oversight of Provincial Parks, and for promoting and supporting physical activity for individuals, groups, and communities, by the development of policy and programs in support of provincial recreation and sport. The Department also establishes and operates provincial historic sites, visitor information centres, arts and culture centres and Provincial pools. Additionally, the Department provides regulatory protection of archaeological sites, artifacts and historic documents; supports the arts and heritage sectors, and recreation and sport, through programs and services; supports strategic product development in the tourism industry and marketing Newfoundland and Labrador as a destination to visitor markets; and, supports the tourism industry through research, opportunity identification and strategy development.",,https://www.gov.nl.ca/tcar/,709 729 7000,tcar@gov.nl.ca,,Visiting Newfoundland and Labrador,709-729-7000,tcar@gov.nl.ca,https://www.gov.nl.ca/tcar/contact/,https://www.gov.nl.ca/wp-content/uploads/Andrea-Barbour-02-2C9A9511.jpg,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Labour Relations Board,Office Hours:Monday-Friday8:30am-4:30pm (Closed 12:30pm-1:30pm)Excluding Government HolidaysApplication Filing Hours:Monday-Friday8:30am-3:00pm (Closed 12:30pm-1:30pm)Excluding Government Holidays,,https://www.gov.nl.ca/lrb/,709-729-2707,lrb@gov.nl.ca,,Labour Relations Board,1-877-563-1063,lrb@gov.nl.ca,https://www.gov.nl.ca/lrb/board/contact.html,,,,,
NL,Department,Public Service Commission,"The Public Service Commission (PSC) is committed to, and responsible for, oversight of and policy for merit-based appointments and promotions within the Public Service of NL. The PSC also offers a range of programs and services dedicated to supporting departments and individuals in achieving individual and workplace health and productivity.",,http://www.gov.nl.ca/psc/,1-855-330-5810,contactpsc@gov.nl.ca,,The Graduate Recruitment Program,,,mailto:contactpsc@gov.nl.ca,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Public Procurement Agency,"The Public Procurement Agency is the central procurement unit of the Government of Newfoundland and Labrador. The Agency provides procurement, audit, information, and training services to government departments and other public bodies throughout Newfoundland and Labrador, including conducting open calls for bids and awarding contracts for commodities pursuant to thePublic Procurement Act.FeaturesNL First Procurement StrategySocial Procurement GuidePublic Procurement Training Request FormSustainable Procurement StrategyTo Do Business with the Government…Contract Awards – GNL and Public…",,https://www.gov.nl.ca/ppa/,(709) 729-3348,ppainquiries@gov.nl.ca,,Public Procurement Act.,(709) 729-3348,ppainquiries@gov.nl.ca,https://www.gov.nl.ca/ppa/division/minister/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,"Forestry, Agriculture and Lands",,,https://www.gov.nl.ca/fal/,,,,Community Wildfire Prevention,(709) 729-2181,falminister@gov.nl.ca,https://www.gov.nl.ca/fal/department/contact/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Fisheries and Aquaculture,,,https://www.gov.nl.ca/fisheries/,,,,Fish Processing Licensing Applications,(709) 729-3705,faminister@gov.nl.ca,https://www.gov.nl.ca/fisheries/department/contactfa/,,https://twitter.com/GovNL,https://www.facebook.com/GovNL,https://www.youtube.com/user/GovNL,https://www.instagram.com/govnlsocial/
NL,Department,Workers’ Compensation Independent Review Board,The Workers’ Compensation Independent Review Board (WCIRB) is committed to improving services to injured workers and employers of Newfoundland and Labrador.,,https://www.gov.nl.ca/wcirb/,1-888-336-1111,wcirb@gov.nl.ca,"6 Mount Carson Avenue Mount Pearl, NL",Decision Search System,1-709-729-5542,wcirb@gov.nl.ca,https://www.gov.nl.ca/wcirb/contact-us/,,,,,
