type,about,priorities,website,twitter,facebook,youtube,instagram,name,photo_url,minister_contact_number,minister_url
Wildfire prevention and mitigation,,,https://www.alberta.ca/wildfire-prevention-and-mitigation,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/card_image_regular/private/wildfire-campfire-light-card.jpg?itok=ncLpM1Bb,,https://www.alberta.ca/wildfire-prevention-and-mitigation
Advanced Education,"Responsible for an adult learning system that provides accessible, affordable and high quality education for Albertans.",,https://www.alberta.ca/advanced-education,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/minister-miles-mcdougall.jpg?itok=vp2KCGzj,,https://www.alberta.ca/advanced-education
Affordability and Utilities,Leads and coordinates government's ongoing efforts to make everyday life more affordable.,,https://www.alberta.ca/affordability-and-utilities,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-nathan-neudorf-web.jpg?itok=kWHl3_Ie,,https://www.alberta.ca/affordability-and-utilities
Agriculture and Irrigation,"Supports the growth, diversification and sustainability of Alberta’s agriculture industry.",,https://www.alberta.ca/agriculture-and-irrigation,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,https://www.youtube.com/user/AlbertaAgriculture,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-rj-sigurdson-web_0.jpg?itok=ZJUmDm5q,,https://www.alberta.ca/agriculture-and-irrigation
"Arts, Culture and Status of Women","Improving Albertans’ quality of life through support for creative industries, non-profits, historical preservation and gender equality.",,https://www.alberta.ca/arts-culture-and-status-of-women,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,https://www.youtube.com/user/AlbertaCulture,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-tanya-fir-web.jpg?itok=aUZ8HxGX,,https://www.alberta.ca/arts-culture-and-status-of-women
Assisted Living and Social Services,"Leads housing, assisted living and continuing care, seniors, income, employment and homelessness supports, disability services, and other social-based programs.",,https://www.alberta.ca/assisted-living-and-social-services,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/Cabinet-Jason-Nixon.jpg?itok=7aUfWlI3,,https://www.alberta.ca/assisted-living-and-social-services
Children and Family Services,"Leads child intervention, early childhood development, foster and kinship care, adoption, improvements for children and youth and prevention of family violence.",,https://www.alberta.ca/children-and-family-services,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-searle-turton.jpg?itok=QAHdtK4K,,https://www.alberta.ca/children-and-family-services
Communications and Public Engagement,"This cross-government department provides communications, public relations and marketing services to government ministries.",,https://www.alberta.ca/communications-and-public-engagement,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/premier-danielle-smith-new_0.jpg?itok=7PP0HxJk,,https://www.alberta.ca/communications-and-public-engagement
Education and Childcare,"Supports students, parents, teachers and administrators from Early Childhood Services (ECS) through Grade 12. [Previously Education]",,https://www.alberta.ca/education-and-childcare,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-demetrios-nicolaides.jpg?itok=SNN-TVA9,,https://www.alberta.ca/education-and-childcare
Energy and Minerals,Sustaining the interests of Albertans through the stewardship and responsible development of energy and mineral resource systems.,,https://www.alberta.ca/energy-and-minerals,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,https://www.youtube.com/watch?v=QqSA8eWww7I,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-brian-jean-web.jpg?itok=G2L1Xx7l,,https://www.alberta.ca/energy-and-minerals
Environment and Protected Areas,"Supports environmental conservation and protection, sustainable economic prosperity and quality of life.",,https://www.alberta.ca/environment-and-protected-areas,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,http://www.youtube.com/user/ESRDAlberta/videos,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/cabinet-rebecca-shulz.png?itok=UBJ00IzV,,https://www.alberta.ca/environment-and-protected-areas
Executive Council,Ensures effective strategic planning and coordinated policy development across government.,,https://www.alberta.ca/executive-council,https://twitter.com/YourAlberta,https://www.facebook.com/youralberta.ca/,,https://www.instagram.com/youralberta/,,https://www.alberta.ca/system/files/styles/square_scale_crop/private/premier-danielle-smith-new_0.jpg?itok=7PP0HxJk,,https://www.alberta.ca/executive-council
