province,type,name,about,priorities,website,phone,email,address,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
ON,Ministry,"Agriculture, Food and Agribusiness",Growing Ontario’s agri-food sector to create a stronger economy for the province.,,https://www.ontario.ca/page/ministry-agriculture-food-and-agribusiness,519-826-3100,,"1 Stone Road West Guelph, On",Growing Ontario’s agri-food sector to create a stronger economy for the province.,,,,,https://x.com/AgricultureON,https://www.facebook.com/ONagricultureandfood/,,https://www.instagram.com/onagribusiness/
ON,Ministry,"Children, Community and Social Services","Helping to improve outcomes for children, youth, families and individuals who need support, and advancing the interests of women across Ontario.",,https://www.ontario.ca/page/ministry-children-community-and-social-services,416-325-5225,,"438 University Avenue, 7 th floor Toronto, On",Family Responsibility Office,,,,,http://x.com/childrenON,https://www.facebook.com/OntarioSocialServices/,,https://www.instagram.com/ontario_children/
ON,Ministry,Attorney General,Administering the justice system in Ontario and protecting the public by delivering a wide range of legal services.,,https://www.ontario.ca/page/ministry-attorney-general,416-326-2220,,"720 Bay Street, 11 th floor Toronto, On",Canada Post strike,,,,,https://x.com/ONAttorneyGen,,,
ON,Ministry,"Colleges, Universities, Research Excellence and Security","Ministry of Colleges, Universities, Research Excellence and Security438 University Avenue, 5thFloorToronto, Ontario M7A 2A5",,https://www.ontario.ca/page/ministry-colleges-universities-research-excellence-and-security,416-325-2929,,"438 University Avenue, 5 th Floor Toronto, On",Ontario Student Assistance Program (OSAP),,,,,https://x.com/ONtrainandstudy,https://www.facebook.com/ONtrainandstudy/,,https://www.instagram.com/ONtrainandstudy/
ON,Ministry,Energy and Mines,"Working to develop a safe, reliable and affordable energy supply across Ontario, and overseeing our mineral sector, providing geoscience information and supporting sustainable development.",,https://www.ontario.ca/page/ministry-energy-and-mines,1-888-668-4636,,"9845 Ministry of Energy and Mines 77 Grenville Street Toronto, On",Mining Lands Administration System (MLAS),,,,,https://twitter.com/onenergy,https://www.facebook.com/energyontario/,,https://www.instagram.com/ontenergy/
ON,Ministry,Citizenship and Multiculturalism,"Leads the government’s anti-racism, economic inclusion, cultural heritage and provincial awards initiatives to build an equitable Ontario and promote a sense of belonging.",,https://www.ontario.ca/page/ministry-citizenship-and-multiculturalism,416-212-0039,,"0039 Ministry of Citizenship and Multiculturalism 56 Wellesley Street West, 14 th Floor Toronto, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,https://x.com/ontariomcm,,,https://www.instagram.com/ontariomcm/
ON,Ministry,"Environment, Conservation and Parks","Leading to healthier communities and economic prosperity through protecting Ontario’s air, land and water.",,https://www.ontario.ca/page/ministry-environment-conservation-parks,416-325-4000,,"777 Bay Street Toronto, On","The Government of Ontario includes ministries, agencies and Crown corporations.",,,,,https://x.com/ONEnvironment,https://www.facebook.com/ONenvironment,,
ON,Ministry,Finance,"Leading the province’s fiscal, tax, economic and statistics policy, administering tax and benefit programs and reporting on Ontario’s economic and fiscal plans.",,https://www.ontario.ca/page/ministry-finance,1-866-888-3850,,"7776 Ministry of Finance 95 Grosvenor Street Toronto, On",Ontario Trillium Benefit,,,,,https://x.com/onfinance,https://www.facebook.com/FinanceON/,,https://www.instagram.com/ontariofinance/
ON,Ministry,Health,"Connecting Ontarians to the health care they need, when and where they need it — in their community, closer to home.",,https://www.ontario.ca/page/ministry-health,1-800-855-0511,CCU.MOH@ontario.ca,"777 Bay Street Toronto, On","Connecting Ontarians to the health care they need, when and where they need it — in their community, closer to home.",,,,,https://x.com/ONThealth,https://www.facebook.com/ONThealth/,,
ON,Ministry,Francophone Affairs,"Ensuring Franco-Ontarians receive government services in French so they can participate in the social, economic and political life of the province while maintaining their linguistic and cultural heritage.",,https://www.ontario.ca/page/ministry-francophone-affairs,416-325-4983,,,"Ensuring Franco-Ontarians receive government services in French so they can participate in the social, economic and political life of the province while maintaining their linguistic and cultural heritage.",,,,,,https://www.facebook.com/ONgov,,
