province,type,name,about,priorities,website,phone,email,address,parent_ministry,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
AB,Service Delivery,Acute Care Alberta,"Acute Care Alberta will coordinate and oversee the delivery of hospital care, urgent care centres, clinical operations, surgeries, and emergency medical services, to expedite access to quality acute care health services for Albertans, including those in rural areas.",,https://acutecarealberta.ca/,,,,,,,,,,,,,
AB,Advisory,Advisory Council on Alberta-Ukraine Relations,The mandate of the Advisory Council on Alberta-Ukraine Relations is to consider opportunities for cooperation and provide advice to the Minister on Alberta-Ukraine initiatives.,,https://www.alberta.ca/country-regional-relations,,,,,,,,,,,,,
AB,Corporate Enterprise,Agriculture Financial Services Corporation,"The Agriculture Financial Services Corporation provides lending and insurance services as well as compensation programs. The Corporation's core programs and services include loans to beginning farmers, commercial lending, crop insurance, hail insurance and agricultural income stabilization payments. It also delivers other programs and services including loans to developing farmers, disaster loans, loan guarantees and business counseling.",,,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Agricultural Products Marketing Council,"The Alberta Agricultural Products Marketing Council (Council) is a provincial public agency established by theMarketing of Agricultural Products Act(MAPA)to advisethe Minister on matters related to Alberta’s19 agricultural marketing boards and commissions (MBCs)and supervise these MBCs in accordance with MAPA.Council empowers MBCs by advancing governance excellence, providing integrated policy advice, and administering effective legislation for the benefit of the agricultural industry and government.",,https://www.alberta.ca/alberta-agricultural-products-marketing-council,,,,,,,,,,,,,
AB,Advisory,Alberta Anti-Racism Advisory Council,The Alberta Anti-Racism Advisory Council provides advice on how to combat racism and how to best implement and evaluate anti-racism action items.,,https://www.alberta.ca/anti-racism-advisory-council,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Assessors' Association - Executive Committee,"The Executive Committee manages and conducts the business and affairs of the Alberta's Assessors' Association and exercises the rights, powers and privileges of the Association in the name and on behalf of the Association. The Committee also reviews disciplinary complaints.",,https://www.albertaassessors.ca/committees,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Assoc. of Architects and the Assoc. of Prof. Engineers and Geoscientists of Alberta - Joint Board of Practice,The operation of the Joint Board of Practice is prescribed by agreement between the Council of the Architects Association and the Council of the Engineers Association. Some items in the agreement include: provisions respecting the assessment of applications for a certificate of authorization under the Architects Act and Engineering and Geoscience Professions Act; provisions respecting recommendations on applications for authority to prepare final drawings for buildings under the Safety Codes Act; and mediating complaints or disputes.,,https://www.aaa.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Association of Architects - Council,The Council manages and conducts the business and affairs of the Alberta Association of Architects and exercises the powers of the Association in the name and on behalf of the Association.,,https://www.aaa.ab.ca/,,,,,,,,,,,,,
AB,Advisory,Alberta Association of Architects - Practice Review Board,"The Practice Review Committee of the Alberta Association of Architects is responsible for the assessment of existing, and the development of new, educational standards and experience requirements that are conditions required to obtain registration under the Architects Act. The Committee may review and make recommendations on the IAP, IID, and Professional Development Programs. The Committee may also conduct a review of the practice of an authorized entity.",,https://www.aaa.ab.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Association of Landscape Architects - Board of Directors,"The Board of Directors manages and conducts the business and affairs of the Alberta Association of Landscape Architects and exercises the rights, powers and privileges of the Association in the name and on behalf of the Association.",,https://www.aala.ab.ca/board-of-directors,,,,,,,,,,,,,
AB,Advisory,Alberta Black Advisory Council,"The Alberta Black Advisory Council (Council) is to advise the Minister of Immigration and Multiculturalism (Minister) on how to combat racism and systemic barriers faced by Alberta’s Black communities, and to support the ongoing implementation and evaluation of the Government of Alberta’s actions against racism.",,https://www.alberta.ca/alberta-black-advisory-council,,,,,,,,,,,,,
AB,Advisory,Alberta Board of Skilled Trades,"The functions of the Board are to consult with industry and make recommendations to the Minister respecting the designation of trades and the rescission of the designation of trades, to consult with industry respecting standards and requirements for certification in designated trades, any other matters requested by the Minister, and any other matters in respect of which the Board considers it should engage with industry; to advise and make recommendations to the Minister respecting restricted activities and the classes of individuals who may perform them, and any other matter on which the Minister requests the input of the Board; to promote the value of designated trades careers and certification, and any other functions assigned by the regulations.",,https://tradesecrets.alberta.ca/engagement-events/alberta-board-of-skilled-trades/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta Boilers Safety Association,The Alberta Boilers Safety Association is a delegated administrative organization that administers Alberta's pressure equipment safety programs under the Safety Codes Act and has the authority to enforce pressure equipment safety standards.,,https://www.absa.ca/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Combined Laboratory and X-Ray Technologists - Council,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://alis.alberta.ca/occinfo/certifications-in-alberta/combined-laboratory-and-x-ray-technologist/,,,,,,,,,,,,,
AB,Regulatory/Adjudicative,Alberta College of Dental Hygienists,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence.",,https://www.acdh.ca/,,,,,,,,,,,,,
