type,about,priorities,website,twitter,facebook,youtube,instagram,name,photo_url,minister_contact_number,minister_url
Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada supports the Canadian agriculture and agri-food sector through initiatives that promote innovation and competitiveness.,,https://agriculture.canada.ca/en,https://twitter.com/AAFC_Canada,https://www.facebook.com/CanadianAgriculture/,https://www.youtube.com/user/AgricultureCanadaEng,https://www.instagram.com/cdn_agriculture/,"The Honourable Heath MacDonald, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,mailto:aafc.minister-ministre.aac@agr.gc.ca,https://www.canada.ca/en/government/ministers/heath-macdonald.html
Canadian Heritage,"The Department of Canadian Heritage and its Portfolio organizations play a vital role in the cultural, civic and economic life of Canadians. Our policies and programs promote an environment where Canadians can experience dynamic cultural expressions, celebrate our history and heritage and build strong communities. The Department invests in the future by supporting the arts, our official and Indigenous languages, multiculturalism and our athletes and the sport system.",,https://www.canada.ca/en/canadian-heritage.html,,https://www.facebook.com/CdnHeritage,https://www.youtube.com/c/CdnHeritage,https://www.instagram.com/cdn.heritage/,The Honourable Steven Guilbeault,https://www.canada.ca/content/dam/pch/images/ministers/steven-guilbeault.jpg,,
Crown-Indigenous Relations and Northern Affairs Canada,"Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC) continues to renew the nation-to-nation, Inuit-Crown, government-to-government relationship between Canada and First Nations, Inuit and Métis; modernize Government of Canada structures to enable Indigenous peoples to build capacity and support their vision of self-determination and lead the Government of Canada's work in the North.",,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://twitter.com/GCIndigenous,https://www.facebook.com/GCIndigenous,https://www.youtube.com/GCIndigenous,https://www.instagram.com/gcindigenous/,"The Honourable Rebecca Alty, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/rebecca-alty.html
Employment and Social Development Canada,Employment  and Social Development Canada (ESDC) works to improve the standard of living  and quality of life for all Canadians. We do this by promoting a labour force  that is highly skilled. We also promote an efficient and inclusive labour  market.,,https://www.canada.ca/en/employment-social-development.html,https://twitter.com/ESDC_GC,https://www.facebook.com/ESDC.GC/,https://www.youtube.com/user/HRSDCanada,https://www.instagram.com/esdc.gc/,"The Honourable Patty Hajdu, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/patty-hajdu.html
Environment and Climate Change Canada,"Environment Canada is committed to protecting the environment, conserving the country’s natural heritage, and providing weather and meteorological information to keep Canadians informed and safe.",,https://www.canada.ca/en/environment-climate-change.html,https://twitter.com/environmentca,https://www.facebook.com/EnvironmentandClimateChange,https://www.youtube.com/user/environmentcan,https://www.instagram.com/canenvironment/,"The Honourable Julie Dabrusin, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/julie-dabrusin.html
Department of Finance Canada,"The Department of Finance Canada helps the Government of Canada develop and implement strong and sustainable economic, fiscal, tax, social, security, international and financial sector policies and programs.",,https://www.canada.ca/en/department-finance.html,,https://www.facebook.com/FinanceCanada,,,"The Honourable François-Philippe Champagne, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/francois-philippe-champagne.html
Fisheries and Oceans Canada,"We are a federal institution, responsible for safeguarding our waters and managing Canada's fisheries and oceans resources.",,https://www.dfo-mpo.gc.ca/index-eng.html,,https://www.facebook.com/FisheriesOceansCanada,https://www.youtube.com/user/fisheriescanada,https://www.instagram.com/FisheriesOceansCAN/,The Honourable Joanne Thompson,https://www.dfo-mpo.gc.ca/images/home-accueil/joanne-thompson-200x250.jpg,,
Global Affairs Canada,"We define, shape and advance Canada’s interests and values in a complex global environment. We manage diplomatic relations, promote international trade and provide consular assistance. We lead international development, humanitarian, and peace and security assistance efforts. We also contribute to national security and the development of international law.",,https://international.canada.ca/en/global-affairs,,https://www.facebook.com/CanadaAndTheWorld,https://www.youtube.com/channel/UCIVMBvs03h74NSdQMH31jKA,https://www.instagram.com/global.affairs.canada/?ref=vc.ru,"The Honourable Anita Anand, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/anita-anand.html
Health Canada,"Health Canada is responsible for helping Canadians maintain and improve their health. It ensures that high-quality health services are accessible, and works to reduce health risks.",,https://www.canada.ca/en/health-canada.html,https://twitter.com/GovCanHealth,https://www.facebook.com/HealthyCdns,https://www.youtube.com/user/healthcanada,https://www.instagram.com/healthycdns/,The Honourable Deputy Minister of Health Canada - Greg Orencsak,https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/health-canada/corporate/about-health-canada/branches-agencies/deputy-minister.html
"Immigration, Refugees and Citizenship Canada","Official site for Immigration, Refugees and Citizenship Canada (IRCC). Find out how to apply to visit, work, study or immigrate to Canada.",,https://www.canada.ca/en/immigration-refugees-citizenship.html,https://twitter.com/citimmcanada,https://www.facebook.com/CitCanada,https://www.youtube.com/citimmcanada,https://www.instagram.com/citimmcanada/,"The Honourable Lena Metlege Diab, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/lena-metlege-diab.html
Indigenous Services Canada,"Indigenous Services Canada (ISC) works collaboratively with partners to improve access to high quality services for First Nations, Inuit and Métis. Our vision is to support and empower Indigenous peoples to independently deliver services and address the socio-economic conditions in their communities.",,https://www.canada.ca/en/indigenous-services-canada.html,https://twitter.com/GCIndigenous,https://www.facebook.com/GCIndigenous,https://www.youtube.com/GCIndigenous,https://www.instagram.com/gcindigenous/,"The Honourable Mandy Gull-Masty, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/mandy-gull-masty.html
"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada (ISED) works with Canadians in all areas of the economy and in all parts of the country to improve conditions for investment, enhance Canada's innovation performance, increase Canada's share of global trade and build a fair, efficient and competitive marketplace. We are the federal institution that leads the Innovation, Science and Economic Development portfolio .",,https://ised-isde.canada.ca/site/ised/en,,https://www.facebook.com/CanadianInnovation/,https://www.youtube.com/user/IndustryCanadaGC,https://www.instagram.com/cdninnovation/?hl=en,"The Honourable Mélanie Joly, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/melanie-joly.html
Department of Justice Canada,"The Department of Justice has the mandate to support the dual roles of the Minister of Justice and the Attorney General of Canada. The Department also works to ensure the federal government is supported by high-quality legal services, and the justice system is fair, relevant, accessible, and reflective of Canadian values.",,https://www.canada.ca/en/department-justice.html,https://twitter.com/JusticeCanadaEn,https://www.facebook.com/JusticeCanadaEn,https://www.youtube.com/user/JusticeCanadaEn,,The Honourable Sean Fraser,https://www.canada.ca/content/dam/jus/images/fraser.jpg,,
National Defence,The Department of National Defense and the Canadian Armed Forces advise and support the Minister of National Defense and implement government decisions regarding the defense of Canadian interests at home and abroad.,,https://www.canada.ca/en/department-national-defence.html,https://twitter.com/NationalDefence,https://www.facebook.com/NationalDefenceGC/,https://www.youtube.com/user/CanadianForcesVideos,https://www.instagram.com/canadianforces/?hl=en,"The Honourable David J. McGuinty, MP",https://www.canada.ca/etc/designs/canada/wet-boew/assets/sig-blk-en.svg,,https://www.canada.ca/en/government/ministers/david-mcguinty.html
