description,minister_name,minister_title,name,title,url
"The Ministry of Agriculture and Food is responsible for the production, marketing, processing and merchandising of agriculture and seafood products, as well as supporting our province’s food security, and developing a resilient food system and economy.",Honourable Lana Popham,Minister of Agriculture and Food,Agriculture and Food,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/agriculture
"The Attorney General administers the justice system and provides legal advice to government. It is also responsible for providing British Columbians access to more affordable, safe and appropriate housing.",Honourable Niki Sharma,N/A,Attorney General,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/attorney-general
"The Ministry of Children and Family Development’s primary focus is to support all children and youth in British Columbia to live in safe, healthy and nurturing families and be strongly connected to their communities and culture. It is also responsible for developing universal, affordable, accessible, quality and inclusive child care. The ministry’s approach is to provide inclusive, culturally respectful, responsive and accessible services that support the well-being of children, youth and families in BC",Honourable Jodie Wickens,Minister of Children and Family Development,Children and Family Development,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/children-and-family-development
"The Ministry of Citizens’ Services provides a wide range of services to British Columbians across the province, both in person and online. From BC Services Cards to freedom of information to information technology infrastructure, we help deliver services that people count on.",Honourable Diana Gibson,Minister of Citizens' Services,Citizens' Services,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/citizens-services
"The purpose of the British Columbia school system is to enable the approximately 553,000 public school students, 81,000 independent school students, and over 2,200 home-schooled children enrolled each school year, to develop their individual potential and to acquire the knowledge, skills and abilities needed to contribute to a healthy society and a prosperous and sustainable economy.",Honourable Lisa Beare,Minister of Education and Child Care,Education and Child Care,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/education
"Find information on Emergency Management BC, preparedness, response and recovery, public safety, crime prevention and wildfire services.",Honourable Kelly Greene,Minister of Emergency Management and Climate Readiness,Emergency Management and Climate Readiness,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/emergency-management-and-climate-readiness
"The Ministry of Energy and Climate Solutions is responsible for British Columbia’s electricity, alternative energy and petroleum resource sectors, and supporting work to align energy policies with climate goals.",Honourable Adrian Dix,Minister of Energy and Climate Solutions,Energy and Climate Solutions,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/energy
"The Ministry of Environment and Parks is responsible for the effective protection, management and conservation of B.C.’s water, land, air and living resources. It leads work on climate preparedness and adaptation.",Honourable Tamara Davidson,Minister of Environment and Parks,Environment and Parks,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/environment
"The Ministry of Finance plays a key role in establishing, implementing and reviewing government’s economic, fiscal, financial management and taxation policies.",Honourable Brenda Bailey,Minister of Finance,Finance,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/finance
"The Ministry of Forests, Lands, Natural Resource Operations and Rural Development is responsible for the stewardship of provincial Crown land and ensures the sustainable management of forest, wildlife, water and other land-based resources. The Ministry works with Indigenous and rural communities to strengthen and diversify their economies.",Honourable Ravi Parmar,Minister of Forests,Forests,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/forests
"The Ministry of Health has overall responsibility for ensuring that quality, appropriate, cost effective and timely health services are available for all British Columbians.",Honourable Josie Osborne,Minister of Health,Health,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/health
"The Ministry of Housing and Municipal Affairs is responsible for providing British Columbians access to more affordable, safe and appropriate housing, and in supporting local governments and residents to build vibrant and healthy communities.",HonourableChristine Boyle,N/A,Housing and Municipal Affairs,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/housing
The Ministry of Indigenous Relations and Reconciliation leads the B.C. Government in pursuing reconciliation with the First Nations and Indigenous peoples of British Columbia.,HonourableSpencer Chandra Herbert,N/A,Indigenous Relations and Reconciliation,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/indigenous-relations-reconciliation
"The Ministry of Infrastructure provides capital planning and procurement for major capital projects such as schools, hospitals and other infrastructure to support growing communities.",Honourable Bowinn Ma,Minister of Infrastructure,Infrastructure,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/infrastructure
"Ministry of Jobs, Economic Development and Innovation manages government services that help support and maintain the strong and diverse economy that British Columbians need for long-term prosperity. It supports the growth of BC’s tech sector, champions innovation across the economy, nurtures small businesses, supports economic development throughout the province, and promotes BC internationally as a preferred place to invest and do business.",Honourable Ravi Kahlon,N/A,Jobs and Economic Growth,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/jobs-economic-development-and-innovation
"the Ministry of Labour promotes fair, healthy and safe labour and employment relationships in support of a strong, sustainable and inclusive economy.",Honourable Jennifer Whiteside,Minister of Labour,Labour,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/labour
The Ministry of Mining and Critical Minerals is responsible for British Columbia’s strategy for mining and critical mineral projects.,Honourable Jagrup Brar,Minister of Mining and Critical Minerals,Mining and Critical Minerals,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/mining
"The Ministry of Post-Secondary Education and Future Skills provides leadership and direction for post-secondary education and skills training systems in British Columbia, labour market information and programs, and immigration settlement services.",HonourableJessie Sunner,N/A,Post-Secondary Education and Future Skills,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/post-secondary-education-and-future-skills
The Ministry of Public Safety & Solicitor General is responsible for delivering public safety services in British Columbia.,HonourableNina Krieger,N/A,Public Safety and Solicitor General,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/public-safety-solicitor-general
The Ministry of Social Development and Poverty Reduction focuses on providing British Columbians in need with a system of supports to help them achieve their social and economic potential.,Honourable Sheila Malcolmson,Minister of Social Development and Poverty Reduction,Social Development and Poverty Reduction,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/social-development-poverty-reduction
"The Ministry of Tourism, Arts, Culture and Sport integrates the tourism sector with the arts, culture and sport sectors to create a more vibrant British Columbia for residents and visitors.",HonourableAnne Kang,N/A,"Tourism, Arts, Culture and Sport",Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/tourism-arts-culture
"The Ministry of Transportation and Transit strives to build and maintain a safe and reliable transportation system and provide affordable, efficient and accessible transportation options for all British Columbians.",Honourable Mike Farnworth,Minister of Transportation and Transit,Transportation and Transit,Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/transportation
"The Ministry of Water, Land and Resource Stewardship is accountable for integrated land and natural resource management, including objective setting for land and marine environments, effectively managing cumulative effects, and advancing reconciliation with Indigenous peoples, environmental sustainability, and economic growth.",Honourable Randene Neill,"Minister of Water, Land and Resource Stewardship","Water, Land and Resource Stewardship",Find information,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/water-land-and-resource-stewardship
